,V4: DA,V4: RES,V4: alpha_RES,V4: beta_RES
0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5208065878520229, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5208065878520229, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.11593541937055687, 0.0, 0.22769786726342844, 1.0657233511091508, 0.8419325176667272, 0.0, 0.0, 0.0, 0.015281260766827658, 2.6483145511851096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[18.639999, 18.639999000000003, 0.0, 22.309999000000005, 3.65, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022921891150241816, 1.377123566616234, 22.379999, 14.919999999999998, 14.919999999999998, 0.0, 0.0, 74.459999, 44.84000000000003, 0.0, 7.309999999999999, 7.239999999999998, 7.239999999999998, 6640.320068]"
0.1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5888401379453321, 0.00659482898226822, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5888401379453321, 0.00659482898226822, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.11593541937055687, 0.04104765094142894, 0.22769786726342844, 1.0657233511091508, 3.2616562649389302, 0.0, 0.0, 0.0, 0.030596713943491345, 2.4811528824833706, 0.0, 0.0, 0.0, 0.0, 5.878471775719254, 4.88770683545219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[18.639999, 22.379999000000005, 0.0, 0.0, 3.65, 0.0, 1651.7518122643314, 0.0, 0.0, 22.370000999985677, 0.004589507091523767, 1.2901994988913517, 22.379999, 0.0, 44.76999999999995, 44.77000000000001, 1095.5681525164664, 1200.880364405938, 44.83999999999105, 0.6699999999955253, 41.909999999998945, 44.75, 104.44999699999994, 6640.320068]"
0.8,"[1.0, 1.0, 0.21932348165098092, 1.0, 1.0, 0.04232195648976319, 1.0, 1.0, 0.0055984140114270714, 0.005341606029251518, 0.0035644947925966863, 0.0046841775948821, 0.005444329222121739, 1.0, 1.0, 0.00563950328857516, 0.005834677355028581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.21932348165098092, 1.0, 1.0, 0.04232195648976319, 1.0, 1.0, 0.0055984140114270714, 0.005341606029251518, 0.0035644947925966863, 0.0046841775948821, 0.005444329222121739, 1.0, 1.0, 0.00563950328857516, 0.005834677355028581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.11593541937055687, 0.04104765094142894, 0.22769786726342844, 1.0657233511091508, 3.2616562649389302, 0.0, 0.0, 0.0, 0.030596713943491345, 2.4811528824833706, 0.0, 0.0, 0.0, 0.0, 5.878471775719254, 4.88770683545219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[18.639999, 22.379999000000005, 0.0, 0.0, 3.65, 0.0, 1651.7518122643314, 0.0, 0.0, 22.370000999985677, 0.004589507091523767, 1.2901994988913517, 22.379999, 0.0, 44.76999999999995, 44.77000000000001, 1095.5681525164664, 1200.880364405938, 44.83999999999105, 0.6699999999955253, 41.909999999998945, 44.75, 104.44999699999994, 6640.320068]"
